nut,alpha.water,yPlus,k,p_rgh,p,omega,U0,U1,U2,Points0,Points1,Points2,vtkOriginalIndices,__vtkIsSelected__,vtkCompositeIndexArray
1.38028e-05,1,0,3.46562e-06,-0.050564,25134.1,0.251082,-0.0799965,0,-1.64738e-06,-12,0,-2.7,162,0,2
1.38028e-05,1,0,3.46562e-06,-0.0504853,25134.1,0.251082,-0.0799958,0,-1.40484e-06,-11.25,0,-2.7,163,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504404,25134.1,0.251082,-0.0799953,0,-1.30923e-06,-10.5,0,-2.7,164,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504239,25133.4,0.251081,-0.0799949,0,-1.32138e-06,-9.75,0,-2.7,165,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504265,25133,0.251081,-0.0799948,0,-1.40249e-06,-9.375,0,-2.7,166,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504619,25133,0.251081,-0.0799947,0,-1.85554e-06,-8.625,0,-2.7,167,0,2
1.38028e-05,1,0,3.46563e-06,-0.0504385,25133,0.251081,-0.0799947,0,-1.58085e-06,-9,0,-2.7,168,0,2
1.38028e-05,1,0,3.46563e-06,-0.0505449,25133,0.251081,-0.0799952,0,-2.81682e-06,-7.875,0,-2.7,169,0,2
1.38028e-05,1,0,3.46563e-06,-0.050497,25133,0.251081,-0.0799948,0,-2.25823e-06,-8.25,0,-2.7,170,0,2
1.38026e-05,1,0,3.46561e-06,-0.0509512,24109,0.251084,-0.0800001,-1.37444e-09,-1.62967e-06,-15,0.225,-2.6,171,0,2
1.38027e-05,1,0,3.46563e-06,-0.0508924,24109,0.251083,-0.0799989,0,-1.59098e-06,-14.25,0,-2.6,172,0,2
1.38027e-05,1,0,3.46563e-06,-0.0507746,24109,0.251083,-0.0799981,0,-1.49941e-06,-13.5,0,-2.6,173,0,2
1.38027e-05,1,0,3.46563e-06,-0.0506629,24109,0.251083,-0.0799971,0,-1.38447e-06,-12.75,0,-2.6,174,0,2
1.38027e-05,1,0,3.46563e-06,-0.0505809,24109,0.251083,-0.0799963,0,-1.28222e-06,-12,0,-2.6,175,0,2
